index,concept,i1,i2,i3,i4,i5,req_index_1,req_index_2,req_index_3,req_index_4,req_index_5,req_index_6,req_index_7,req_index_8,req_index_9,req_index_10,req_index_11,req_index_12,req_index_13,req_index_14,req_index_15,req_index_16,req_index_17,req_index_18,req_index_19,req_index_20,req_index_21,req_index_22,req_index_23,req_index_24,req_index_25,req_index_26,req_index_27,req_index_28,req_index_29,req_index_30,req_index_31,req_index_32,req_index_33,req_index_34,req_index_35,req_index_36,req_index_37,req_index_38,req_index_39,req_index_40,req_index_41,req_index_42,req_index_43,req_index_44,req_index_45,req_index_46,req_index_47,req_index_48,req_index_49,req_index_50
1,0,0,-1,-1,-1,-1,0.1906,0.1877,0.1914,0.1892,0.1886,0.1835,0.184,0.1896,0.1853,0.1891,0.1806,0.1835425079345703,0.18724668579101564,0.17558464279174804,0.176475,0.1822388671875,0.1776704216003418,0.16350736694335938,0.14321170078659057,0.124334,0.180580859375,0.17378773221969604,0.16137333905029294,0.15285568266521454,0.14020688359375,0.1859,0.1926,0.1889,0.1914,0.1895,0.1927,0.1846,0.1859,0.1864,0.19059999996157115,0.1913999999445343,0.1874996664412649,0.1896844399136246,0.18816798729009462,0.1874390712882866,0.18190305480128616,0.18356754710562256,0.17471874381247948,0.17234541724739605,0.15529612413980295,0.1917,0.18340000052415265,0.17620050452890665,0.1649143582440673,0.15311166145800587
2,0,0,1,-1,-1,-1,0.3548,0.3578,0.3519,0.3557,0.3556,0.3548,0.3522,0.3496,0.35409175701141354,0.35559475,0.353430859375,0.35018745155334474,0.34464519653320314,0.3323700504302979,0.311878125,0.34480136718750004,0.33569279403686525,0.32023808593749997,0.28827707846069334,0.2643625,0.348480859375,0.33977186126708986,0.32904704589843753,0.31874608512908936,0.30062361375,0.353,0.3601,0.354,0.3539,0.3582,0.3507,0.3568,0.3538,0.354299783701228,0.3514908099186237,0.35466393748976116,0.3522596890304432,0.3555468974871246,0.3503395073275943,0.34170920351296863,0.34880414113594954,0.3517895969068878,0.33243552951149896,0.3237339725297882,0.305953257062138,0.3499,0.35069999999999996,0.3444,0.3349000067341258,0.3174006417480273
3,0,0,1,2,-1,-1,0.0448,0.0405,0.0413,0.0398,0.0463,0.0426,0.0441,0.0444,0.0455,0.0439,0.0424,0.0422,0.0439,0.04223405456542968,0.041053125,0.0430302734375,0.04075556373596191,0.03747852172851562,0.029649985500335697,0.021687250000000005,0.0362517666015625,0.030432199478149412,0.02421343389892578,0.019913331590347295,0.017311571875,0.0431,0.0447,0.0401,0.0438,0.0429,0.0439,0.0439,0.0433,0.043,0.0445,0.0414,0.0472,0.0455,0.044299999736988616,0.04369974159863027,0.043576748764480734,0.04167256515396373,0.04102866816336629,0.041240561746933226,0.03855390985615335,0.04010392626214266,0.035953979498081504,0.03164304559904187,0.02412992711545654,0.016104616867403998
4,0,0,2,-1,-1,-1,0.0801,0.0833,0.0792,0.0812,0.0842,0.0789,0.0828,0.0825,0.0788,0.0819,0.0807,0.082,0.0831,0.08176702728271484,0.078859375,0.08036572265625,0.08140928039550781,0.07149526977539063,0.060644770202636714,0.05123074999999999,0.07344787500000001,0.06943374757766724,0.06276835510253906,0.05353251474559784,0.0503008696875,0.0801,0.0824,0.0824,0.0815,0.0812,0.0793,0.085,0.0796,0.0882,0.0825,0.0817,0.0784,0.078,0.08299999451879851,0.0792990734594045,0.0837710429303703,0.07991271616848793,0.0805498766148036,0.07714340572770484,0.07510719998127129,0.07960953483518685,0.07242043479031723,0.0632962071326563,0.05853676132454052,0.04634994493825539
5,0,0,2,1,-1,-1,0.0321,0.0376,0.0353,0.0355,0.0357,0.0362,0.033,0.0384,0.0335,0.0351,0.0344,0.0357,0.0352,0.0363,0.033859375000000004,0.03206376953125,0.03206832962036133,0.0305547607421875,0.019260953330993653,0.01925075,0.028585561523437497,0.02479196186065674,0.019102938964843746,0.015104757058563234,0.013329726093750001,0.0332,0.035,0.0376,0.0347,0.0335,0.0362,0.0349,0.0349,0.0358,0.0343,0.0364,0.0314,0.0341,0.0325,0.03519999354898174,0.033899654583850324,0.03488085979522178,0.03582855903167103,0.03268994984385951,0.03524819265987618,0.03127256685278665,0.028328902683890256,0.023161151711001436,0.013779807331387728,0.00608416995662318
6,0,1,-1,-1,-1,-1,0.4063,0.4054,0.4128,0.4074,0.4138,0.4147,0.4039,0.41061757202148436,0.4042834358940125,0.4047305,0.40565917968750004,0.40224819412231444,0.393520849609375,0.3752301166534424,0.34862187499999997,0.40012675781249996,0.388500227355957,0.36804601440429685,0.33615514279937747,0.30739625,0.403480859375,0.39727186126708985,0.3838470458984375,0.3676140163421631,0.35159710031249997,0.41,0.4093,0.4123,0.41,0.4113,0.4152,0.4145,0.41169993982029696,0.40689617777539455,0.4093524440315528,0.40711572466842183,0.40980814776987645,0.40447953441440126,0.39936521444809264,0.39212126530152114,0.40870000205628587,0.40160183207930034,0.39703921040963075,0.3808584391789522,0.3587880557960483,0.40609999999999996,0.4083,0.3948,0.38880000000000003,0.37460000031357393
7,0,1,0,-1,-1,-1,0.3364,0.3394,0.3395,0.3366,0.3406,0.339,0.3399,0.33814426879882814,0.3361568415031433,0.33312825,0.33914384765625,0.33378112297058105,0.32322936401367186,0.3171020942687988,0.291421875,0.33064179687499995,0.3207142517089844,0.30328703002929686,0.27154465340805056,0.25291475,0.335180859375,0.32967186126708986,0.31084704589843754,0.29791845485881807,0.2850412909375,0.342,0.3402,0.3435,0.3438,0.3402,0.3374,0.3437,0.3404999312802391,0.3402944785887725,0.3383590833411009,0.3410447472293836,0.34213071318688326,0.3324961597856191,0.32370653521589765,0.32509680936985247,0.33520900088149524,0.3301962206761164,0.32537433804303373,0.31023412422446295,0.29467323700243453,0.3339,0.3315,0.3246,0.31720012083543364,0.3074058392308845
8,0,1,0,2,-1,-1,0.1046,0.1054,0.1093,0.1053,0.1044,0.1044,0.1006,0.1021,0.1014,0.1031,0.1013,0.1004,0.1050110107421875,0.10562946853637696,0.0979734375,0.09980439453124999,0.09365289306640626,0.084132763671875,0.07063076501464843,0.06214849999999999,0.10259794531250001,0.09642346200942993,0.08073556958007812,0.07102362579528809,0.067242715,0.1031,0.1083,0.1037,0.1055,0.1058,0.106,0.1045,0.0968,0.1079,0.1016,0.1021,0.1036,0.10149997911947847,0.10639710456757549,0.10445667539719516,0.10145352702146174,0.0991010194160295,0.10048001354015465,0.09685652858319536,0.09012839275119527,0.09720000232559248,0.09380215948073635,0.08973456287400208,0.0785656366262917,0.07335531991264053
9,0,1,2,-1,-1,-1,0.5306,0.5321,0.5268,0.5289,0.5324660462499999,0.53817978515625,0.5273584156036377,0.5330029479980469,0.5222268191108703,0.507361,0.53015927734375,0.5162420829772949,0.5050033691406249,0.4882306228637695,0.45569531250000006,0.5191109375,0.5081075519561767,0.4865537841796875,0.4584198366470337,0.42494675,0.5226808593750001,0.5124718612670899,0.4990470458984375,0.4903140163421631,0.4733859375,0.5326,0.5379,0.5293,0.5331,0.5306999338442392,0.5315999939592904,0.5344962947587237,0.5328510132418021,0.5261491863336106,0.5314786319215938,0.5335420880033622,0.5242465700560829,0.5195517462295102,0.5114789935765272,0.501142401764738,0.5323,0.5248002600990616,0.5122118357025848,0.49618598557851007,0.4816708686015274,0.528,0.5271,0.5189,0.5074,0.48820000002178826
10,0,1,2,0,-1,-1,0.1022,0.1005,0.0993,0.1046,0.101,0.1014,0.1019,0.1054,0.0987,0.1008,0.1009,0.0996,0.09623770751953124,0.0970806797027588,0.098671875,0.09658515625,0.09206140365600586,0.08446571655273437,0.07563317734146119,0.05951449999999999,0.09601218359375,0.0866754033088684,0.0736884942626953,0.06496220706493379,0.058445504531250005,0.0988,0.0979,0.1042,0.0962,0.1036,0.0998,0.1037,0.1015,0.0997,0.098,0.1051,0.1015,0.10569999633133415,0.10019967776542074,0.10249250261049554,0.10303341517965744,0.10003190267347961,0.09728502415751675,0.0928942135003136,0.08603182711343767,0.09380000668998376,0.0948018066628773,0.08493761458368491,0.07693810071497828,0.06406873421631752
