index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
1,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.66666666667,0.36805555556,1.0,1.0,0.99957175449,1.0,58.114329577
2,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.6287841844900001,0.162037037037,0.324845679012,0.47299382716,0.4575617284,1.0,42.095339627
3,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.28780864198,0.22762345679,0.351569198853,0.62619055231,0.51466049383,1.0,42.095339627
4,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.043950142523,0.53472222222,1.0,1.0,1.0,1.0,58.114329577
5,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.12191358025,0.9780351012799999,0.72516133815,0.99999907441,1.0,1.0,52.77466626
6,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.20921111093,0.98584732546,0.9853395061699999,1.0,1.0,0.9995025669251,58.114329577
7,5,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.66701691358,0.9978987242,1.0,1.0,1.0,1.0,112.85516921
8,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.73813319976,0.99999173382,0.9993394465800001,0.9999653050299999,1.0,1.0,63.453992894
9,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.07940260082299999,0.6080246913599999,1.0,1.0,0.9999831961300001,1.0,58.114329577
10,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.43209876543000003,0.45293209876999996,0.99992090766,1.0,1.0,1.0,58.114329577
11,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.16666666667000002,0.24922839506,1.0,0.9421296296299999,0.98688271605,1.0,58.114329577
12,6,1,1,-1,-1,2,-1,0,6.12595,6.12595,6.12595,9.33853,9.33853,14.285,0.27469135802,0.20652505693,0.54089506173,0.43209876543,0.99922839506,0.9999999173157,51.339944067
