index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
1,2,2,3,2,-1,-1,-1,-1,5.75369,10.6473,10.6473,10.6473,10.6473,10.6473,0.982786,0.612826,0.574786,0.616577,0.615572,0.626182,1.0,0.86823695073,1.0,0.9999999990199999,1.0,1.0,4.0287279029
2,6,1,1,0,2,-1,4,-1,6.12595,11.4656,14.285,14.285,18.4791,18.4791,0.39265,0.988721,0.967689,0.963582,0.821936,0.823234,1.0,0.8117,1.0,0.99993803967,1.0,1.0,4.9578131962
3,6,1,2,1,0,4,-1,3,4.32456,9.33853,14.285,18.4791,18.4791,26.7355,0.370401,0.532086,0.974925,0.877804,0.844814,0.975989,0.073305667531,1.0,0.5021,1.0,0.9661,1.0,4.5760195542
4,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390817,0.983902,0.989882,0.949085,0.981472,0.969418,0.108065956597,0.83291353116,1.0,0.9982,1.0,1.0,5.2645759925
5,6,1,1,-1,-1,0,2,-1,6.12595,6.12595,6.12595,11.4656,14.285,14.285,0.390219,0.350998,0.39265,0.992031,0.946557,0.8987,0.1447966413,0.3385,1.0,0.8694738978500001,0.99444920777,0.9149,3.9711549629
6,6,1,1,4,2,-1,3,-1,6.12595,10.7133,13.8584,13.8584,23.231,23.231,0.395225,0.8616,0.440845,0.513711,0.991211,0.997289,0.027592004157,0.27949999999999997,0.5323,1.0,1.0,1.0,4.1998815937
7,4,2,3,2,-1,0,-1,-1,5.75369,10.6473,10.6473,16.1685,16.1685,16.1685,0.982786,0.614442,0.622664,0.675528,0.673305,0.700024,1.0,1.0,0.9135193079199999,0.3614,1.0,0.903,4.2687489963
8,6,0,1,-1,-1,-1,0,-1,5.78631,5.78631,5.78631,5.78631,13.8631,13.8631,0.373365,0.395786,0.350875,0.403889,0.311923,0.286458,0.98021971888,0.99999999151,0.4048,0.30330966524889996,0.9441813729899999,0.9593,2.1222951862
9,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.394875,0.992031,0.950905,0.974542,0.992031,0.981177,0.06428898485199999,0.86947389785,1.0,1.0,0.8694738978500001,0.999998305062,5.2855606713
10,6,1,0,-1,4,2,3,1,6.12595,6.12595,10.7133,13.8584,23.231,26.7355,0.0732855,0.105815,0.165844,0.704417,0.789463,0.991934,0.4042,0.4514,0.9470000000000001,0.32189999999999996,0.33749999999999997,1.0,2.8307585492
11,2,2,0,3,-1,-1,-1,-1,5.52124,11.2749,11.2749,11.2749,11.2749,11.2749,0.976081,0.997804,0.917568,0.944186,0.993382,0.987636,0.054158860232,1.0,1.0,1.0,1.0,1.0,5.8166578941
12,4,1,2,3,4,1,-1,-1,4.32456,14.8134,19.7265,23.231,23.231,23.231,0.350438,0.322239,0.99555,0.990234,0.972458,0.942992,0.9163,0.1633,1.0,1.0,0.9996,0.9981,4.5739104854
13,4,1,3,1,0,-1,-1,-1,11.2751,16.2848,20.5083,20.5083,20.5083,20.5083,0.806457,0.277134,0.901482,0.906504,0.905289,0.894177,0.38490283708,0.265,0.3547,1.0,1.0,1.0,4.6910427426
14,6,1,3,0,2,-1,1,4,11.2751,16.2848,18.7111,18.7111,22.5415,26.7355,0.797409,0.547419,0.104427,0.134084,0.935125,0.972376,0.46027055224,0.99993845718,0.7323,0.9995,0.8685,1.0,3.4908415464
15,6,1,2,-1,-1,0,-1,1,4.32456,4.32456,4.32456,9.33853,9.33853,14.285,0.352835,0.348513,0.328056,0.152054,0.169987,0.906082,0.98114752219,0.3104,0.326,0.9964999999999999,0.7742,0.934051117578,2.2575284361
16,6,1,0,-1,4,1,-1,-1,6.12595,6.12595,10.7133,15.6597,15.6597,15.6597,0.0732855,0.115994,0.21997,0.970718,0.979681,0.985285,0.4042,0.9953716928399999,0.93321396221,0.9999975296099999,0.98862204225,0.9880139882060001,3.3449331229
17,5,2,0,3,-1,-1,2,-1,5.52124,11.2749,11.2749,11.2749,16.1685,16.1685,0.864948,0.987636,0.997289,0.993382,0.731889,0.612484,0.8992,1.0,1.0,1.0,1.0,0.9936,5.1876288539
18,2,2,3,0,-1,-1,-1,-1,5.75369,11.2749,11.2749,11.2749,11.2749,11.2749,0.99555,0.971366,0.98315,0.992512,0.981677,0.980277,1.0,0.9228,0.89373649821,0.9509661029400001,1.0,1.0,5.9045317385
19,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96466,0.834088,0.972489,0.933169,0.96679,0.939935,0.4117,0.9992,1.0,0.9243999999999999,0.99880105058,0.9704351486280001,5.611130624
20,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390219,0.971974,0.974342,0.981777,0.943716,0.943716,0.1447966413,0.8765999999999999,1.0,1.0,0.9259999999999999,0.926,5.2057444273
21,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.991934,0.955505,0.993382,0.955505,0.944186,0.991934,1.0,1.0,1.0,1.0,1.0,1.0,5.8324461373
22,5,1,4,3,2,1,0,-1,5.69944,16.9745,19.7265,23.231,26.7355,26.7355,0.622759,0.627132,0.915939,0.991934,0.955505,0.992881,0.9988,0.129,0.5386,1.0,1.0,1.0,5.1061492729
23,6,1,0,1,4,2,-1,-1,6.12595,11.4656,15.6597,18.4791,18.4791,18.4791,0.106514,0.838172,0.992881,0.837204,0.833264,0.830411,0.98671143185,0.76299794227,1.0,1.0,0.4706,1.0,4.438446589
24,5,1,1,0,4,2,-1,-1,6.12595,11.4656,15.6597,18.4791,18.4791,18.4791,0.390219,0.987991,0.985572,0.797119,0.803734,0.802277,0.1447966413,0.8441857173799999,1.0,0.9871000000000001,1.0,1.0,4.7669107926
25,6,1,2,-1,0,-1,4,3,4.32456,4.32456,9.33853,9.33853,13.8584,23.231,0.32997,0.358431,0.179672,0.154355,0.823468,0.747549,0.8637,0.187563640305,1.0,0.7202,0.44310013362,0.9580164973,2.5934443545
26,5,0,1,2,-1,-1,0,-1,5.78631,11.2751,11.2751,11.2751,18.9336,18.9336,0.39481,0.514592,0.483114,0.530007,0.069872,0.0954086,0.99756594333,0.16660000000000003,1.0,0.6184987506999999,0.3494,0.9961,2.0878029839
27,6,1,3,-1,-1,0,-1,2,11.2751,11.2751,11.2751,16.2848,16.2848,18.7111,0.787622,0.779562,0.810859,0.565611,0.537596,0.140851,0.45994220888000004,0.99663019718,0.45943947892,1.0,0.7056147669799999,0.999862660578,3.6221008773
28,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.382036,0.987991,0.988382,0.954814,0.988182,0.992204,1.0,0.8441857173799999,1.0,1.0,1.0,1.0,5.2936092036
29,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.997289,0.992881,0.982786,0.955505,0.992881,0.974818,1.0,1.0,1.0,1.0,1.0,1.0,5.8961593822
30,1,2,1,-1,-1,-1,-1,-1,5.6423,5.6423,5.6423,5.6423,5.6423,5.6423,0.776183,0.770285,0.73601,0.761272,0.733735,0.77105,0.26438418609000003,0.34360922271,0.9437,1.0,0.98599164547,1.0,4.5485354451
31,5,1,3,1,-1,4,0,-1,11.2751,16.2848,16.2848,20.8722,24.7024,24.7024,0.797754,0.310704,0.28965,0.839466,0.993282,0.985573,0.46040000000000003,1.0,0.9999,0.38136538434199996,1.0,0.9999,4.2164290964
32,4,1,4,3,0,2,-1,-1,5.69944,16.9745,20.8722,23.231,23.231,23.231,0.669116,0.627132,0.357408,0.809988,0.783505,0.822489,0.0551,0.129,0.93939775051,0.7470329972,1.0,1.0,4.0696377424
33,6,1,1,0,2,4,-1,3,6.12595,11.4656,14.285,18.4791,18.4791,26.7355,0.386926,0.992245,0.831875,0.828711,0.777367,0.985977,0.17923438295000002,0.89042334077,1.0,1.0,0.4917,1.0,4.8031004987
