index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
1,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96981,0.950576,0.919486,0.961077,0.962272,0.966882,0.28407480778,1.0,1.0,1.0,1.0,1.0,33.127428251
2,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.97005,0.973135,0.972589,0.96679,0.962036,0.963534,1.0,0.276,1.0,0.99880105058,1.0,1.0,33.127428251
3,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.997289,0.982786,0.992881,0.997804,0.955505,0.997289,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
4,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.961777,0.972969,0.966982,0.933169,0.962272,0.948018,1.0,0.22092185735,1.0,0.9243999999999999,1.0,1.0,33.127428251
5,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.974576,0.859375,0.99555,0.99555,0.974818,0.918351,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
6,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.972489,0.939434,0.834088,0.966111,0.967016,0.972489,1.0,0.6838,0.9992000000000001,1.0,0.9881,1.0,33.127428251
7,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96981,0.950942,0.961777,0.864948,0.931105,0.951742,0.28407480778,1.0,1.0,0.8992,1.0,1.0,33.127428251
8,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.562144,0.582386,0.511916,0.583234,0.57632,0.542686,0.999304136,1.0,0.6342,0.8050020899199999,0.9999179497799999,1.0,32.932734377
9,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.993382,0.99555,0.955505,0.978542,0.99555,0.986277,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
10,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.8775,0.955505,0.944186,0.918351,0.944186,0.991934,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
11,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.997804,0.997804,0.917568,0.944186,0.993382,0.987636,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
12,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.978542,0.917568,0.99555,0.991934,0.973847,0.944186,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.971489,0.834088,0.949756,0.970604,0.972589,0.961077,0.999936103,0.9992,0.6073,1.0,1.0,1.0,33.127428251
14,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.948743,0.948018,0.919486,0.964181,0.939434,0.950576,0.9831024385,1.0,1.0,1.0,0.6838,1.0,33.127428251
15,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.961077,0.888568,0.834088,0.937114,0.950942,0.960242,1.0,1.0,0.9992000000000001,1.0,1.0,0.9952553704680001,33.127428251
16,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.8775,0.987636,0.997289,0.974818,0.982786,0.987636,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
17,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.864948,0.972969,0.972489,0.96679,0.972589,0.8498,0.8992,0.22092185735,1.0,0.99880105058,1.0,1.0,33.127428251
18,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.99555,0.973847,0.987636,0.997804,0.986277,0.986277,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
19,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96466,0.834088,0.972489,0.933169,0.96679,0.939935,0.4117,0.9992,1.0,0.9243999999999999,0.99880105058,0.9704351486280001,33.127428251
20,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.974576,0.973847,0.978542,0.986277,0.944186,0.944186,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
21,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.991934,0.955505,0.993382,0.955505,0.944186,0.991934,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
22,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.955505,0.978542,0.944186,0.991934,0.955505,0.992881,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
23,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.982786,0.962218,0.992881,0.997804,0.991211,0.991211,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
24,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.950576,0.973145,0.962272,0.951742,0.963534,0.961077,1.0,0.180406134018,1.0,1.0,1.0,1.0,33.127428251
25,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.931105,0.950576,0.962272,0.931105,0.96679,0.931828,1.0,1.0,1.0,1.0,0.99880105058,0.999999876378,33.127428251
26,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.591777,0.573284,0.559914,0.597176,0.521511,0.592781,0.99999932643,0.2336,1.0,0.87997963294,0.9858,1.0,32.932734377
27,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.939935,0.950576,0.96679,0.966111,0.931828,0.97005,0.97043514863,1.0,0.99880105058,1.0,0.99999987638,1.0,33.127428251
28,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.962036,0.973145,0.966882,0.937114,0.96679,0.970604,1.0,0.180406134018,1.0,1.0,0.99880105058,1.0,33.127428251
29,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.997289,0.992881,0.982786,0.955505,0.992881,0.974818,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
