index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
1,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.819579,0.793229,0.757586,0.800977,0.805672,0.805382,0.0128550771206,0.9979015716999999,1.0,1.0,1.0,1.0,4.7824244714
2,6,1,1,0,2,-1,4,-1,6.12595,11.4656,14.285,14.285,18.4791,18.4791,0.39265,0.988721,0.967689,0.963582,0.821936,0.823234,1.0,0.8117,1.0,0.99993803967,1.0,1.0,4.9578131962
3,4,1,1,-1,0,3,-1,-1,6.12595,6.12595,11.4656,20.5083,20.5083,20.5083,0.395225,0.376786,0.988721,0.950904,0.909005,0.951001,0.027592004157,0.9999987311699999,0.8117000000000001,1.0,1.0,0.995509083581,4.5716432152
4,5,1,1,0,2,4,-1,-1,6.12595,11.4656,14.285,18.4791,18.4791,18.4791,0.390817,0.983902,0.963582,0.820778,0.819472,0.806118,0.108065956597,0.83291353116,1.0,0.3938,1.0,1.0,4.7846685462
5,5,1,2,0,3,1,-1,-1,4.32456,9.33853,18.7111,22.5415,22.5415,22.5415,0.358431,0.176739,0.14635,0.99555,0.974818,0.918351,0.18756364031,0.1199,0.99997254338,1.0,1.0,1.0,3.5702394807
6,2,0,1,2,-1,-1,-1,-1,5.78631,11.2751,11.2751,11.2751,11.2751,11.2751,0.693189,0.792898,0.679619,0.799111,0.800549,0.802489,0.99993008825,0.2437,0.8724000000000001,1.0,0.4723,0.999999195633,4.5678553823
7,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.819579,0.791842,0.800081,0.746827,0.769705,0.796077,0.0128550771206,1.0,0.9997117433,0.5459,1.0,0.9984000000000001,4.7241110097
8,3,2,2,-1,1,-1,-1,-1,5.71934,5.71934,10.505,10.505,10.505,10.505,0.123859,0.125421,0.335503,0.381646,0.368071,0.337736,0.35311570546,0.97468587146,0.3918,0.3010579607103,0.98596012438,0.9991,1.6722361288
9,6,1,1,0,-1,2,3,4,6.12595,11.4656,11.4656,14.285,22.5415,26.7355,0.394875,0.992031,0.950905,0.948742,0.947892,0.982677,0.06428898485199999,0.86947389785,1.0,1.0,0.42886453534,1.0,5.21712136
10,6,1,0,-1,-1,1,4,3,6.12595,6.12595,6.12595,11.4656,15.6597,24.7024,0.0732855,0.105815,0.0794962,0.815159,0.944186,0.991638,0.4042,0.4514,0.7884,0.6582,1.0,0.99953318254,3.0095791851
11,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,6.12595,11.4656,15.6597,24.7024,0.0732855,0.105815,0.0794962,0.815159,0.944186,0.991638,0.4042,0.4514,0.7884,0.6582,1.0,0.99953318254,3.0095791851
12,3,1,1,2,0,-1,-1,-1,6.12595,9.33853,14.285,14.285,14.285,14.285,0.378531,0.509818,0.995251,0.991734,0.973862,0.944303,0.9306,0.6391,0.9997692569800001,1.0,0.9956,0.9979,4.7934993949
13,-1,-1,-1,-1,-1,-1,-1,-1,5.48879,5.48879,11.2751,11.2751,11.2751,11.2751,0.846053,0.714411,0.872486,0.888104,0.883989,0.874377,0.82881654768,0.9393,0.34709999999999996,1.0,1.0,1.0,56.077957923
14,-1,-1,-1,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.828301,0.817918,0.791186,0.836481,0.828586,0.817385,0.69885071377,1.0,1.0,1.0,0.312,0.999638868031,32.932734377
15,6,1,2,-1,-1,0,-1,1,4.32456,4.32456,4.32456,9.33853,9.33853,14.285,0.352835,0.348513,0.328056,0.152054,0.169987,0.906082,0.98114752219,0.3104,0.326,0.9964999999999999,0.7742,0.934051117578,2.2575284361
16,6,1,0,-1,-1,1,4,3,6.12595,6.12595,6.12595,11.4656,15.6597,24.7024,0.0732855,0.115994,0.123395,0.848779,0.982786,0.987547,0.4042,0.9953716928399999,0.40769944348,0.8029954395900001,1.0,0.9991274779,3.1317854046
17,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396036,0.983902,0.992189,0.988182,0.992889,0.8717,0.019299999999999998,0.83291353116,1.0,1.0,1.0,1.0,5.2248983816
18,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396036,0.983902,0.992189,0.988182,0.992889,0.8717,0.019299999999999998,0.83291353116,1.0,1.0,1.0,1.0,5.2248983816
19,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396036,0.983902,0.992189,0.988182,0.992889,0.8717,0.019299999999999998,0.83291353116,1.0,1.0,1.0,1.0,5.2248983816
20,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390219,0.971974,0.974342,0.981777,0.943716,0.943716,0.1447966413,0.8765999999999999,1.0,1.0,0.9259999999999999,0.926,5.2057444273
21,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390219,0.971974,0.974342,0.981777,0.943716,0.943716,0.1447966413,0.8765999999999999,1.0,1.0,0.9259999999999999,0.926,5.2057444273
22,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.356011,0.973042,0.943716,0.987991,0.950505,0.988081,0.8785000000000001,1.0,0.9259999999999999,0.84418571738,1.0,1.0,5.1993468101
