index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
1,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.99151676592,0.91358024691,0.8726851851899999,0.93132716049,0.9558304769299999,0.9984937531572999,101.8472058
2,6,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.3587962963,0.46836419753,0.56095679012,0.46540377541,0.9945987654299999,1.0,47.435002944
3,3,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.035016180931,0.9696767372899999,1.0,0.99343909144,0.99614197531,0.9945987654321,63.453992894
4,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.14968764082,0.36188271605,1.0,1.0,1.0,1.0,58.114329577
5,6,1,3,-1,-1,-1,1,0,16.9745,16.9745,16.9745,16.9745,20.8722,24.7024,0.9135802469100001,0.80787037037,0.88811728395,0.9004629629600001,1.0,1.0,113.47271424
6,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.9999898713,0.78472222222,0.5725308642,0.60384788684,0.93212753426,0.9999898713049,32.932734377
7,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.26421600967000003,0.3950617284,1.0,0.9936329657,1.0,1.0,58.114329577
8,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.16975308642,0.99999797882,1.0,1.0,1.0,1.0,63.453992894
9,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.27391975309,0.49845679012,0.4012345679,0.395061728395,0.49845679012,1.0,42.095339627
10,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.9994382805800001,0.99795141671,0.8726851851899999,0.65817901235,0.98070987654,0.99055671381808,101.8472058
11,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.084303735455,0.35629071937,0.98130399197,0.75617283951,0.6512345679,1.0,57.765115107
12,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.39506172840000003,0.36179309138000004,0.49845679012,1.0,1.0,1.0,52.77466626
13,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.46913580247000003,0.3325617284,1.0,0.99999908533,1.0,1.0,58.114329577
14,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.54549165546,0.16228604526,1.0,1.0,1.0,1.0,58.114329577
15,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.30941358025,0.36179309138000004,0.332561728395,1.0,1.0,1.0,52.77466626
16,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.62296104894,0.99459876543,1.0,1.0,1.0,1.0,63.453992894
17,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.76001048069,0.91820987654,1.0,0.98589492757,0.9274691358,0.9994382805834,101.8472058
18,5,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.49845679012,0.29166666667,0.361882716049,1.0,1.0,1.0,52.77466626
19,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.91379748396,0.5725308642,0.9999898712999999,0.99483160406,0.82474139809,0.9961419753085999,32.932734377
20,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.32561728395,0.29166666667,0.61117704057,0.30941358024689997,0.5108024691399999,1.0,42.095339627
21,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.99055671382,0.9982120651499999,0.99849375316,0.9058641975299999,0.8726851851899999,0.99055671381808,101.8472058
22,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.3693939294,0.67669753086,0.5108024691399999,0.46072935833999995,0.36939392940399995,1.0,42.095339627
23,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.80724914827,1.0,0.94984567901,1.0,1.0,1.0,110.10317835
24,6,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.32561728395,0.46072935833999995,0.41539936056,0.61117704057,1.0,1.0,47.435002944
25,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.3693939294,0.32561728395,0.41539936056,0.36939392940399995,0.46540377541,1.0,42.095339627
26,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.30941358025,0.9936329656999999,1.0,1.0,1.0,1.0,63.453992894
27,6,1,1,-1,-1,2,-1,0,6.12595,6.12595,6.12595,9.33853,9.33853,14.285,0.87037037037,0.32561728395,0.46540377541,0.9292366246299999,0.86517389881,1.0,51.339944067
28,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.0162037037037,0.46072935833999995,0.60433908245,1.0,1.0,0.9999990853312,52.77466626
29,6,1,2,-1,1,-1,-1,0,4.32456,4.32456,9.33853,9.33853,9.33853,14.285,0.36033950617,0.38040123456999997,0.78261613712,0.99990213651,0.41589506173,1.0,50.949752078
30,6,1,2,-1,-1,1,-1,0,4.32456,4.32456,4.32456,9.33853,9.33853,14.285,0.36033950617,0.40432098765,0.335648148148,0.9740504909400001,0.39571315318699996,1.0,45.935777804
31,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.47061512554,0.49709780817000004,0.4837962963,0.6589506172799999,0.6512345679,1.0,57.765115107
32,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.9321275342600001,0.90663580247,0.41512345678999996,0.8518014067499999,0.5949063620299999,0.9999898713049,32.932734377
33,5,1,2,-1,1,-1,0,-1,4.32456,4.32456,9.33853,9.33853,14.285,14.285,0.16174473673,0.11977827530900001,0.65432098765,0.73233965902,0.9963598849299999,1.0,55.896263274
34,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.54549165546,0.3325617284,0.90200617284,1.0,1.0,1.0,58.114329577
35,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.14622144261,0.51080246914,1.0,1.0,1.0,1.0,58.114329577
36,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.16228604526,0.16228604526,1.0,1.0,1.0,1.0,58.114329577
37,6,1,1,-1,2,-1,-1,0,6.12595,6.12595,9.33853,9.33853,9.33853,14.285,0.36188271605,0.16975308642,0.50835490993,0.7808641975299999,0.356290719368,1.0,54.552529587
38,6,1,2,-1,1,-1,-1,0,4.32456,4.32456,9.33853,9.33853,9.33853,14.285,0.25856072932,0.51697530864,0.39571315318699996,0.79029826305,0.5802469135799999,1.0,50.949752078
39,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.80787037037,0.9567793168,0.8078703703700001,0.99055671382,0.9979514167100001,0.9984937531572999,101.8472058
