index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
1,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.89602621967,0.95954834392,1.0,0.9320653381799999,1.0,1.0,63.453992894
2,5,1,1,0,-1,-1,3,-1,6.12595,11.4656,11.4656,11.4656,24.7024,24.7024,0.89602621967,0.99999607497,1.0,0.9390000000000001,1.0,1.0,89.927554651
3,3,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.30878119737,0.22426115498,0.99885422651,1.0,1.0,0.9283,112.85516921
4,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.3694,0.99987154662,0.98256185581,1.0,0.9595483439200001,1.0,58.114329577
5,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.22426115498000002,0.9982,0.99981948576,1.0,0.99981948576,0.9999945213270001,115.60716006
6,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.66398467346,0.9879790199299999,0.69150539608,0.6429,0.9794,1.0,40.921803529
7,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.29604471076,0.9644447779399999,0.99644136839,0.9072,1.0,0.9873000000000001,58.114329577
8,6,1,1,2,-1,-1,-1,0,6.12595,9.33853,9.33853,9.33853,9.33853,14.285,0.6611,0.27290000000000003,0.9964687995799999,0.91844879456,0.874875868698,0.9968238827770001,57.765115107
9,5,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.30878119737,1.0,0.9962882586699999,1.0,1.0,0.998854226509,110.10317835
10,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.6611,0.9644447779399999,0.99999999995,0.9320653381799999,0.9072,1.0,58.114329577
11,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.22426115498000002,0.9086121793099999,0.99999995225,0.76129199473,1.0,0.9512,101.8472058
12,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.29604471076,0.8099999999999999,0.9025000000000001,0.9025000000000001,1.0,0.999999999998,58.114329577
13,6,1,2,1,-1,-1,-1,0,4.32456,9.33853,9.33853,9.33853,9.33853,14.285,0.11919587501,0.49995314948,0.49995314948,0.49995314948,0.97037962376,0.999800236176,55.963726353
