index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
1,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,9.33853,9.33853,14.285,14.285,0.369454,0.329026,0.535304,0.5382,0.969359,0.925355,0.082334387219,0.9997,0.64094600738,1.0,0.5781000000000001,0.991344083126,3.6666984173
2,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3945,0.987933,0.992,0.9887,0.9734,0.9814,1.0,0.8100999999999999,1.0,1.0,1.0,1.0,63.453992894
3,6,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.402334,0.3654,0.987933,0.9904,0.950005,0.9901,0.027432682867999998,0.9999987418899999,0.8101,1.0,1.0,1.0,58.114329577
4,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396966,0.972905,0.9903,0.949885,0.980272,0.9609,0.10854512326799999,0.83381555451,1.0,0.9982,1.0,1.0,63.453992894
5,5,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.395947,0.346811,0.3945,0.9893,0.964503,0.913123,0.15860318352,0.3377,1.0,0.86445323726,0.9999191508,0.9881,52.77466626
6,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.659154,0.880053,0.759997,0.890111,0.894608,0.8882,0.94917799315,0.3556,0.9842,1.0,0.8069,1.0,59.265902865
7,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.8045,0.794941,0.677983,0.798111,0.808668,0.8045,1.0,0.2053,0.8883000000000001,1.0,0.4587,1.0,4.68870358
8,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.550541,0.5636,0.514684,0.580819,0.569203,0.546786,0.9992425826,1.0,0.633,0.79456840589,0.9998998259,1.0,32.932734377
9,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.397706,0.9893,0.950005,0.973742,0.9893,0.9779,0.064838411757,0.86445323726,1.0,1.0,0.86445323726,0.99999853357,63.453992894
10,5,1,1,-1,-1,0,4,-1,6.12595,6.12595,6.12595,11.4656,15.6597,15.6597,0.306055,0.358613,0.342309,0.913123,0.944186,0.9863,0.7718,0.8852,0.996,0.9881,1.0,1.0,61.162841553
11,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,20.8722,24.7024,24.7024,24.7024,0.0737245,0.196417,0.304908,0.918351,0.944186,0.9863,0.3998,0.6850999999999999,0.9799,1.0,1.0,1.0,3.4238863697
12,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.37404,0.368119,0.9893,0.9814,0.971055,0.94371,0.9302,0.3164,0.86445323726,1.0,0.8734999999999999,0.9279000000000001,58.114329577
13,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.37404,0.368119,0.9893,0.9814,0.971055,0.94371,0.9302,0.3164,0.86445323726,1.0,0.8734999999999999,0.9279000000000001,4.6276239059
14,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.37404,0.368119,0.9893,0.9814,0.971055,0.94371,0.9302,0.3164,0.86445323726,1.0,0.8734999999999999,0.9279000000000001,4.6276239059
15,6,1,2,-1,-1,-1,0,1,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.354663,0.341991,0.320834,0.329026,0.177535,0.903809,0.98238103644,0.3046,0.329,0.9997,0.7813,0.937696380125,40.921803527
16,5,1,1,-1,-1,0,4,-1,6.12595,6.12595,6.12595,11.4656,15.6597,15.6597,0.306055,0.3734,0.391802,0.964503,0.9662,0.9759,0.7718,1.0,0.9996081243899999,0.9999191508,1.0,1.0,61.162841553
17,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.393952,0.972905,0.9921,0.9887,0.992,0.8724,0.0208,0.83381555451,1.0,1.0,1.0,1.0,63.453992894
18,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.393952,0.972905,0.9921,0.9887,0.992,0.8724,0.0208,0.83381555451,1.0,1.0,1.0,1.0,5.2120567558
19,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.393952,0.972905,0.9921,0.9887,0.992,0.8724,0.0208,0.83381555451,1.0,1.0,1.0,1.0,5.2120567558
20,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.395947,0.971055,0.972142,0.9806,0.94371,0.94371,0.15860318352,0.8734999999999999,1.0,1.0,0.9279,0.9279000000000001,63.453992894
21,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.395947,0.971055,0.972142,0.9806,0.94371,0.94371,0.15860318352,0.8734999999999999,1.0,1.0,0.9279,0.9279000000000001,5.2071647279
22,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.358613,0.973542,0.94371,0.983218,0.951305,0.988281,0.8852,1.0,0.9279,0.8454259366400001,1.0,1.0,63.453992894
23,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3654,0.938415,0.987933,0.9904,0.986611,0.987411,0.99999874189,0.99972838731,0.8101,1.0,1.0,1.0,63.453992894
24,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,15.6597,15.6597,15.6597,15.6597,0.0872989,0.826848,0.992881,0.997,0.991211,0.991211,0.986179693,0.78693678215,1.0,1.0,1.0,1.0,4.8864496739
25,5,1,4,-1,-1,-1,1,-1,5.69944,5.69944,5.69944,5.69944,10.7133,10.7133,0.620528,0.647465,0.647072,0.620528,0.895305,0.848106,0.9995,0.8383325323599999,1.0,0.9995,0.91108607391,0.999878422464,44.224342806
26,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.5867,0.571239,0.563514,0.598673,0.526899,0.590581,0.99999972899,0.2356,1.0,0.87533191109,0.9884,1.0,32.932734377
27,3,1,4,-1,1,-1,-1,-1,5.69944,5.69944,10.7133,10.7133,10.7133,10.7133,0.660034,0.647465,0.895305,0.890111,0.848106,0.8919,0.077596359516,0.8383325323599999,0.91108607391,1.0,0.9998784224599999,1.0,54.252049512
28,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3734,0.983218,0.9873,0.954914,0.9887,0.9904,1.0,0.84542593664,1.0,1.0,1.0,1.0,63.453992894
29,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3734,0.983218,0.9873,0.954914,0.9887,0.9904,1.0,0.84542593664,1.0,1.0,1.0,1.0,5.277931681
30,1,1,3,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.804786,0.80244,0.761347,0.792272,0.75312,0.7999,0.41050404108,0.46709756399,0.9585999999999999,1.0,0.99017669523,1.0,67.650569695
31,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,16.2848,16.2848,16.2848,18.7111,0.804786,0.80244,0.544808,0.563972,0.537636,0.139201,0.41050404108,0.46709756399,0.6291,1.0,0.6872897045999999,0.99986499301,3.3928437064
