index,concept,i1,i2,i3,i4,req_index_1,req_index_2,req_index_3,req_index_4,req_index_5,req_index_6,req_index_7,req_index_8
1,0,0,-1,-1,-1,1.0,0.89,0.27,0.4,0.9999999677153011,0.9917365555752555,0.09011081175371263,0.2758717467141952
2,0,0,1,-1,-1,1.0,1.0,0.95,0.7,1.0,0.999989739495589,0.9977381703026195,0.8977576052493361
3,0,0,1,2,-1,0.84,0.65,0.0,0.16,0.9836206537459097,0.8252771381930961,2.0063276354586583e-06,0.02015391552653685
4,0,0,2,-1,-1,1.0,0.78,0.01,0.28,0.9999184927633401,0.9522660360789327,0.0014629940494725084,0.09292847162704171
5,0,0,2,1,-1,0.92,0.69,0.0,0.19,0.9937628689458797,0.8639994733480891,1.0816952713040015e-05,0.02945339784708501
6,0,1,-1,-1,-1,0.0,0.26,0.0,0.0,0.0004541773695348001,0.050500521137444354,4.085387557701933e-24,3.5769563022211848e-06
7,0,1,0,-1,-1,0.58,0.54,0.0,0.04,0.691352100481771,0.57927461425039,2.105267200241611e-10,0.0027332326046301454
8,0,1,0,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1,2,-1,-1,0.24,0.38,0.0,0.0,0.046401779172530654,0.21105318567483297,1.7831206521972326e-17,8.882378010866445e-05
10,0,1,2,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,2,-1,-1,-1,1.0,0.96,0.43,0.47,0.9999999998641769,0.9974616620127433,0.3330345484838895,0.42438210512685615
12,0,2,0,-1,-1,1.0,0.78,0.02,0.29,0.9999184927633401,0.9522660360789327,0.0014629940494725084,0.09292847162704171
13,0,2,0,1,-1,0.81,0.64,0.0,0.14,0.974609406675756,0.8035022269480131,8.238818232759182e-07,0.01652705642256143
14,0,2,1,-1,-1,0.41,0.46,0.0,0.0,0.27741240181244753,0.3836786455976329,1.0987951114362811e-13,0.0005506169976304033
15,0,2,1,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,0,-1,-1,-1,1.0,0.96,0.43,0.47,0.9999999998641769,0.9974616620127433,0.3330345484838895,0.42438210512685615
17,1,0,1,-1,-1,1.0,1.0,1.0,0.81,1.0,0.999999536811799,0.9999911762901801,0.9730546249446311
18,1,0,1,2,-1,1.0,1.0,1.0,0.84,1.0,0.9999997998934972,0.999998389125177,0.9819900879740758
19,1,0,1,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1,0,1,3,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
