index,concept,i1,i2,i3,i4,req_index_1,req_index_2,req_index_3,req_index_4,req_index_5,req_index_6,req_index_7,req_index_8
1,0,0,-1,-1,-1,0.0,0.0055,0.7797,0.6357,6.614025365028921e-17,1.8637363203993324e-05,0.9835707432227963,0.8047853753284887
2,0,0,1,-1,-1,0.0,0.017,0.8456,0.6808,4.870618280327622e-14,8.832277535190108e-05,0.9868883178548006,0.8573689649756567
3,0,0,1,2,-1,0.0,0.0,0.082,0.2701,8.546211588423505e-52,2.3571780458269137e-14,0.0035046753595848416,0.08694900870469237
4,0,0,2,-1,-1,0.0,0.0,0.2656,0.3794,2.911115229836632e-39,2.418766408464045e-11,0.043179471042621695,0.2399962417509854
5,0,0,2,1,-1,0.0,0.0,0.1877,0.3329,2.950454002371194e-41,8.014972324922518e-12,0.026451855640212706,0.17408086757159208
6,0,1,-1,-1,-1,0.0,0.0457,0.9801,0.8219,1.5550910831272531e-10,0.0007900212514542689,0.9998810921613034,0.9689803519127104
7,0,1,0,-1,-1,0.0,0.0224,0.8595,0.6903,9.687208949478327e-14,0.00014121015055880033,0.9868884256016575,0.8600706990363794
8,0,1,0,2,-1,0.0,0.0,0.1474,0.3127,4.3011275867601827e-47,1.543142610541677e-13,0.007111979073163686,0.13390413903186862
9,0,1,2,-1,-1,0.0071,0.1508,0.9795,0.8184,0.00010153780904209471,0.022868820637597907,0.9998713059318175,0.9650672045285711
10,0,1,2,0,-1,0.0,0.0,0.2378,0.367,3.894403368533239e-36,1.4216475244786048e-10,0.043015321101260315,0.22565275804390392
11,0,2,-1,-1,-1,0.0015,0.1559,1.0,0.9391,4.914225765544045e-06,0.014775198524434164,0.9999999998426429,0.9989808237871929
12,0,2,0,-1,-1,0.0,0.0,0.0,0.002,7.742415841753198e-184,6.962984547543369e-48,1.2561171557220475e-22,1.535952566006037e-07
13,0,2,0,1,-1,0.0,0.0,0.0,0.0786,6.5755420799396164e-99,1.5111338284074955e-26,4.109881803094362e-08,0.003201054535772845
14,0,2,1,-1,-1,0.0644,0.2236,0.9994,0.8616,0.0035028266550917414,0.06296636302240836,0.999999649145346,0.9895144367663063
15,0,2,1,0,-1,0.0,0.0,0.074,0.2461,2.4519699746639086e-59,2.0767505896732182e-16,0.0024899102621159003,0.07785757272303008
16,1,0,-1,-1,-1,0.0,0.0,0.2375,0.3647,2.002865378862121e-29,1.0774830256522721e-08,0.028639075529059598,0.20411543187692616
17,1,0,1,-1,-1,0.5729,0.5505,1.0,1.0,0.5980252400115587,0.5763872348746738,1.0,0.9999989439550946
18,1,0,1,2,-1,0.565,0.5221,1.0,1.0,0.5791664112368329,0.569101148401455,1.0,0.9999999997989554
19,1,0,1,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1,0,1,3,-1,1.0,0.9986,1.0,1.0,1.0,0.9999998464047433,1.0,1.0
21,1,0,1,3,2,1.0,0.9504,1.0,1.0,0.9999999992659219,0.9990442844397508,1.0,1.0
22,1,0,2,-1,-1,0.0,0.0001,0.9521,0.7452,3.453025316814767e-27,2.5290593740804227e-08,0.9997908629821175,0.9408350722207856
23,1,0,2,1,-1,0.7481,0.6233,1.0,1.0,0.9605018626024184,0.7837483995846352,1.0,0.999999999999437
24,1,0,2,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1,0,2,3,-1,0.3512,0.4497,1.0,0.9996,0.38235279541424744,0.3787696716852685,1.0,0.9999999463503625
26,1,0,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1,0,3,-1,-1,0.0,0.0586,0.9546,0.7808,2.1104833617081947e-10,0.001140574257642029,0.9965111518960745,0.9431167417379768
28,1,0,3,1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1,0,3,1,2,1.0,0.8983,1.0,1.0,0.9999999229507893,0.9955505932229507,1.0,1.0
30,1,0,3,2,-1,0.991,0.919,1.0,1.0,0.9999898280646248,0.9879988783981071,1.0,0.9999999999560992
31,1,0,3,2,1,1.0,0.9979,1.0,1.0,1.0,0.9999999983361274,1.0,1.0
32,1,1,-1,-1,-1,0.0,0.0366,0.9761,0.81,7.940959246916356e-12,0.00037975621316045606,0.9998715466227666,0.9644447779399364
33,1,1,0,-1,-1,0.9072,0.7121,1.0,1.0,0.9964413683910809,0.9035949435794309,1.0,0.9999999994633271
34,1,1,0,2,-1,1.0,0.9298,1.0,1.0,0.9999999996510048,0.9985819275520414,1.0,1.0
35,1,1,0,2,3,1.0,0.998,1.0,1.0,1.0,0.9999996082034258,1.0,1.0
36,1,1,0,3,-1,1.0,0.9943,1.0,1.0,1.0,0.9999994380109603,1.0,1.0
37,1,1,0,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1,1,2,-1,-1,0.0,0.0801,1.0,0.9822,1.0480239791390597e-09,0.0021147050978090995,0.999999999999974,0.9998955867484821
39,1,1,2,0,-1,0.9998,0.8801,1.0,1.0,0.9999990235286474,0.9917833380933444,1.0,1.0
40,1,1,2,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1,1,2,3,-1,1.0,0.9758,1.0,1.0,0.9999999999955763,0.9998459602972057,1.0,1.0
42,1,1,2,3,0,1.0,0.9447,1.0,1.0,0.9999999998860742,0.9993444387581298,1.0,1.0
43,1,1,3,-1,-1,0.0651,0.2293,1.0,0.9985,0.0039277678287100715,0.06876882735171615,1.0,0.9999995669092682
44,1,1,3,0,-1,0.992,0.8287,1.0,1.0,0.9999895773000634,0.9793895605921211,1.0,1.0
45,1,1,3,0,2,0.8862,0.8271,1.0,1.0,0.9619964314853711,0.8507054479152102,1.0,0.999999999999686
46,1,1,3,2,-1,0.9931,0.867,1.0,1.0,0.999998859108822,0.9893328298683174,1.0,1.0
47,1,1,3,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1,2,-1,-1,-1,0.0,0.0541,0.9464,0.7702,1.6820687631510415e-10,0.0009415975300648277,0.9964938070063847,0.9344416022820496
49,1,2,0,-1,-1,0.0,0.0,0.9804,0.7666,1.0616981111422196e-24,2.3493162825967092e-07,0.9998648194881231,0.9600406645538101
50,1,2,0,1,-1,0.614,0.5551,1.0,1.0,0.8562788828450149,0.633884232602723,1.0,0.9999999999923256
51,1,2,0,1,3,0.9898,0.8047,1.0,1.0,0.9999894140890468,0.9779988129473458,1.0,1.0
52,1,2,0,3,-1,0.7996,0.5192,1.0,1.0,0.9771140051747285,0.804220507283533,1.0,0.9999999990189291
