index,concept,i1,i2,i3,i4,i5,req_index_1,req_index_2,req_index_3,req_index_4,req_index_5,req_index_6,req_index_7,req_index_8,req_index_9,req_index_10,req_index_11,req_index_12,req_index_13,req_index_14,req_index_15,req_index_16,req_index_17,req_index_18,req_index_19,req_index_20,req_index_21,req_index_22,req_index_23,req_index_24,req_index_25,req_index_26,req_index_27,req_index_28,req_index_29,req_index_30,req_index_31,req_index_32,req_index_33,req_index_34,req_index_35,req_index_36,req_index_37,req_index_38,req_index_39,req_index_40,req_index_41,req_index_42,req_index_43,req_index_44,req_index_45,req_index_46,req_index_47,req_index_48,req_index_49,req_index_50
1,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.18,0.24,0.18,0.96,0.86,0.78,0.7,0.64,1.0,1.0,1.0,0.98,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011965027244440997,0.0018849390972075235,0.03318652555986114,0.08165738422443236,0.09709592478678239,0.9951521113407031,0.9564612145373045,0.9220697088306268,0.9267078380242031,0.9283518617388505,1.0,1.0,1.0,1.0,0.9999965194002682
2,0,0,1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.36,0.34,0.48,0.42,0.34,1.0,1.0,0.96,0.88,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038838503480811303,0.00018613684367671513,0.5484398864490353,0.5684517853255456,0.21493475974332274,0.2790575672077687,0.4991425311134482,1.0,1.0,0.9928760511635633,0.9931584342584631,0.9883034349875864,1.0,1.0,1.0,1.0,1.0
3,0,0,1,2,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.38,0.26,0.28,1.0,0.98,0.92,0.88,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000546381133372647,0.1754989519572141,0.0977281706156667,0.18737399887217288,0.16501343308306857,0.2781755814425761,1.0,1.0,0.9985951200393348,0.9964585304130297,0.9811136749935339
4,0,0,2,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.38,0.38,0.44,0.42,0.34,1.0,1.0,0.92,0.82,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.046072610134545e-05,6.115949089022643e-05,0.06412340900780042,0.11283816736284877,0.34166030828494925,0.13137219055612165,0.3992674235422885,1.0,1.0,0.9997288802513481,0.9940525174359484,0.9942695325748563
5,0,0,2,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.28,0.2,0.28,0.32,0.98,0.88,0.76,0.7,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.904501197755862e-05,0.03005962740657936,0.07015204952881023,0.025206902026427162,0.11982389981264628,0.21623149240971043,0.9998164368342273,0.9967359576931383,0.9937034066488929,0.9847013955415946,0.9658159237054045
6,0,1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.08,0.56,0.54,0.56,0.54,0.5,1.0,1.0,1.0,0.98,0.96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200827792348054e-05,0.0005323470958854929,0.0023843282227764295,0.005132882244179363,0.4900197688684291,0.8729438552060974,0.45987171928275944,0.6922519139659098,0.6188259961725384,1.0,1.0,1.0,0.9999426011878265,0.9993735430589914,1.0,1.0,1.0,1.0,1.0
7,0,1,0,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.02,0.08,0.34,0.36,0.38,0.44,0.48,1.0,0.92,0.9,0.84,0.78,1.0,1.0,1.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001466684872415299,0.0016502013066642524,0.03215676647551283,0.41498280940690213,0.8245487918141426,0.1265421406975727,0.6200169349950886,0.1378238003053057,0.9999102655490387,0.999999303298627,0.9991893744727216,0.9982135454224823,0.9688960047980437,1.0,1.0,1.0,1.0,1.0
8,0,1,0,2,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.46,0.5,0.44,0.56,0.44,1.0,1.0,1.0,0.94,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015005885779198786,0.0006548933809885164,0.2496990558023914,0.17580210430722124,0.08235256053621985,0.4322039795131515,0.5921063625835514,1.0,1.0,0.9998531115149577,0.9993457638780967,0.9989276591271556
9,0,1,2,-1,-1,-1,0.0,0.0,0.0,0.0,0.02,0.12,0.18,0.16,0.22,0.26,0.84,0.78,0.78,0.7,0.68,1.0,1.0,1.0,0.96,0.96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.858325653255786e-05,0.001034829166354353,0.05148544135909947,0.03838389239429753,0.043651700617436624,0.07432752486978828,0.9590480368899813,0.8867286439871512,0.9532525565395328,0.7007750205254917,0.4624633877499026,1.0,1.0,1.0,0.9996636970469078,0.9998054137221175,1.0,1.0,1.0,1.0,1.0
10,0,1,2,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.06,0.4,0.46,0.44,0.48,0.44,1.0,1.0,0.98,0.94,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002377419306586398,0.0,0.004028070200413137,0.5498580687188128,0.7175163180329105,0.4274906249058858,0.599444097206516,0.37613724574012114,1.0,0.9999979151534495,0.9998588710532377,0.9972117307967374,0.9973178847499417
11,0,2,-1,-1,-1,-1,0.0,0.0,0.0,0.02,0.04,0.14,0.22,0.22,0.28,0.4,0.88,0.9,0.86,0.8,0.74,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.401463037773851e-05,0.00016099801953198395,0.004223356791303161,0.04351238263352956,0.1111250788315342,0.025347587761264126,0.11052057938285913,0.9975994008690757,0.9882093312149534,0.9730085312468162,0.9383969382793891,0.9058825162897187,1.0,1.0,1.0,1.0,0.9999918538592798,1.0,1.0,1.0,1.0,1.0
